project_en,project,unit_en,unit,type,owner,parent,province,country,status_tabular,status,start_year,capacity,production,units,geom,lat,lng,route,url_en,url
CTG Tijuana power station,Central turbogás Tijuana,3,3,gas_power_plant,Comisión Federal de Electricidad EPE,Comisión Federal de Electricidad EPE,Baja California,Mexico,operating,operating,1994,171,,MW,point,32.37,-117.07,,https://gem.wiki/CTG_Tijuana_power_station,operating
Cactus Cogen power station,Central de Cogeneración Cactus,1,1,gas_power_plant,Pemex-Transformación Industrial,Petróleos Mexicanos EPE,Tabasco,Mexico,cancelled,cancelled,,530,,MW,point,17.989,-92.948,,https://gem.wiki/Cactus_Cogen_power_station,cancelled
Cala Morritos power station,Central Eléctrica Cala Morritos,1,1,gas_power_plant,Cala Morritos Power SpA,Cala Morritos Power SpA,Coquimbo,Chile,pre-construction,pre-construction,,204,,MW,point,-31.109,-71.614,,https:/.gem.wiki/Cala_Morritos_power_station,pre-construction
Camaçari Muricy II power plant,Usina Termelétrica Camaçari Muricy II,1,1,gas_power_plant,New Fortress Energy Inc,New Fortress Energy Inc,Bahia,Brazil,pre-construction,pre-construction,,142.8,,MW,point,-12.656,-38.3,,https://gem.wiki/Camaçari_Muricy_II_power_plant,pre-construction
Camilo Cienfuegos power station,Central Eléctrica Camilo Cienfuegos,1940-01-01 0:00:00,1940-01-01 0:00:00,gas_power_plant,Unión Eléctrica de Cuba,Unión Eléctrica de Cuba,Cienfuegos,Cuba,operating,operating,2018,84,,MW,point,22.2,-80.531,,https://gem.wiki/Camilo_Cienfuegos_power_station,operating
Campeche power station,Central CC Campeche,1,1,gas_power_plant,Saavi Energia,Global Infrastructure Partners,Campeche,Mexico,operating,operating,2003,275,,MW,point,17.94,-91.733,,https://gem.wiki/Campeche_power_station,operating
Campina Grande power plant,Usina Termelétrica Campina Grande,1,1,gas_power_plant,Bolognesi Energia SA,Bolognesi Energia SA,Paraíba,Brazil,operating,operating,2011,175,,MW,point,-7.293,-35.909,,https://gem.wiki/Campina_Grande_power_plant,operating
Cancún I power station,Central eléctrica Cancún I,1,1,gas_power_plant,Comisión Federal de Electricidad EPE,Comisión Federal de Electricidad EPE,Quintana Roo,Mexico,operating,operating,1979,102,,MW,point,21.133,-86.832,,https:/.gem.wiki/Cancún_I_power_station,operating
Cancún II (Riviera Maya) power station,Central CC Cancún II (Riviera Maya),1,1,gas_power_plant,Comisión Federal de Electricidad EPE,Comisión Federal de Electricidad EPE,Quintana Roo,Mexico,shelved,shelved,,752,,MW,point,21.094,-86.889,,https://gem.wiki/Canc%C3%BAn_II_(Riviera_Maya)_power_station,shelved
Candelaria power station,Central Térmica Candelaria,1,1,gas_power_plant,Colbun SA,Colbun SA,O'Higgins,Chile,operating,operating,2005,127,,MW,point,-34.034,-70.614,,https://gem.wiki/Candelaria_power_station,operating
Candelaria power station,Central Térmica Candelaria,2,2,gas_power_plant,Colbun SA,Colbun SA,O'Higgins,Chile,operating,operating,2005,127,,MW,point,-34.034,-70.614,,https://gem.wiki/Candelaria_power_station,operating
Canelillo power station,Central Eléctrica Canelillo,1,1,gas_power_plant,Generadora Canelillo SpA,Generadora Canelillo SpA,Coquimbo,Chile,pre-construction,pre-construction,,122.4,,MW,point,-31.324,-71.595,,https:/.gem.wiki/Canelillo_power_station,pre-construction
Canindé Energias power station,Usina Termelétrica Canindé Energias,1,1,gas_power_plant,Canindé Energias Ltda,Canindé Energias Ltda,Piauí,Brazil,announced,proposed_plus,,287,,MW,point,-5.2296,-42.803,,https://gem.wiki/Canindé_Energias_power_station,proposed_plus
Cardones power station,Central Térmica Cardones,1,1,gas_power_plant,Inkia Energy,I Squared Capital,Atacama,Chile,operating,operating,2009,155,,MW,point,-27.488,-70.385,,https://gem.wiki/Cardones_power_station,operating
Carnaúba power station,Usina Termelétrica Carnaúba,1,1,gas_power_plant,Eneva SA,Eneva SA,Ceará,Brazil,announced,proposed_plus,,369,,MW,point,-3.7836,-38.809,,https://gem.wiki/Carnaúba_power_station,proposed_plus
Carrasco power station,Termoeléctrica Carrasco,1,1,gas_power_plant,ENDE Valle Hermoso SA,Empresa Nacional de Electricidad Corp,Cochabamba,Bolivia,operating,operating,1996,63,,MW,point,-17.212,-64.528,,https://gem.wiki/Carrasco_power_station,operating
Carrasco power station,Termoeléctrica Carrasco,2,2,gas_power_plant,ENDE Valle Hermoso SA,Empresa Nacional de Electricidad Corp,Cochabamba,Bolivia,operating,operating,1996,63,,MW,point,-17.212,-64.528,,https://gem.wiki/Carrasco_power_station,operating
Carrasco power station,Termoeléctrica Carrasco,ST,ST,gas_power_plant,ENDE Valle Hermoso SA,Empresa Nacional de Electricidad Corp,Cochabamba,Bolivia,cancelled,cancelled,,52,,MW,point,-17.212,-64.528,,https://gem.wiki/Carrasco_power_station,cancelled
Cartagena power station,Central Termoeléctrica Cartagena,1,1,gas_power_plant,Enel Colombia SA ESP,Enel Américas SA [57.3%]; Grupo Energía Bogotá SA ESP [42.5%],Bolívar,Colombia,operating,operating,1973,66,,MW,point,10.355,-75.511,,https://gem.wiki/Cartagena_power_station,operating
