project_en,project,unit_en,unit,type,owner,parent,province,country,status_tabular,status,start_year,capacity,production,units,geom,lat,lng,route,url_en,url
Íride,Íride,,,oil_and_gas_extraction_area,,,,Mexico,operating,operating,1974,,5.53,million boe/y,point,18.02,-93.037,,https://www.gem.wiki/Íride_Oil_and_Gas_Field_(Mexico),https://www.gem.wiki/Íride_Oil_and_Gas_Field_(Mexico)
Amerisur Binational Pipeline,Oleoducto Binacional Amerisur (OBA),,https://www.gem.wiki/Oleoducto_Binacional_Amerisur,oil_pipeline,,GeoPark,,"Colombia, Brazil",operating,operating,,70000,,bpd,line,nan,nan,"0.4799088127817423,-76.2778493266336:0.31823440533004854,-76.27641855158328",https://www.gem.wiki/Amerisur_Binational_Pipeline,https://www.gem.wiki/Amerisur_Binational_Pipeline
Bachaquero-Puerto Miranda 2 Oil Pipeline,Oleoducto Bachaquero-Puerto Miranda 2,,,oil_pipeline,,,,Venezuela,operating,operating,,11.81,,mtpa,line,nan,nan,"9.950045,-71.145304:10.761453,-71.537810",https://www.gem.wiki/Bachaquero-Puerto_Miranda_2_oil_pipeline,https://www.gem.wiki/Bachaquero-Puerto_Miranda_2_oil_pipeline
Bachaquero-Puerto Miranda Oil Pipeline,Oleoducto Bachaquero-Puerto Miranda,,,oil_pipeline,,,,Venezuela,operating,operating,,15.2,,mtpa,line,nan,nan,"9.950045,-71.145304:10.761453,-71.537810",https://www.gem.wiki/Bachaquero-Puerto_Miranda_oil_pipeline,https://www.gem.wiki/Bachaquero-Puerto_Miranda_oil_pipeline
Bicentenario Oil Pipeline,Oleoducto Bicentenario,Expansion,(Ampliación),oil_pipeline,,,,Colombia,cancelled,cancelled,,340000,,bpd,line,nan,nan,"9.403388,-75.679869:9.460292,-74.979491:9.498224,-74.594970:9.525312,-74.336791:9.530729,-74.155517:9.449459,-73.919311:9.400688,-73.683105:9.219091,-73.515563:8.893610,-73.680358:8.285279,-73.608947:8.100418,-72.620177:7.904590,-72.482848:7.428566,-72.463518:6.970780,-72.007585",https://www.gem.wiki/Bicentenario_Oil_Pipeline,https://www.gem.wiki/Bicentenario_Oil_Pipeline
Bicentenario Oil Pipeline,Oleoducto Bicentenario,,,oil_pipeline,,,,Colombia,operating,operating,2013,120000,,bpd,line,nan,nan,"6.936786,-71.808227:6.922621,-71.801603:6.918409,-71.794708:6.912617,-71.790465:6.90314,-71.789935:6.888924,-71.792587:6.87892,-71.793647:6.873128,-71.790996:6.867862,-71.790996:6.863123,-71.789405:6.858384,-71.787283:6.855225,-71.785162:6.850486,-71.785692:6.846273,-71.786753:6.844694,-71.784631:6.842587,-71.780919:6.838375,-71.776676:6.832056,-71.774555:6.822577,-71.771373:6.804672,-71.759705:6.79572,-71.753871:6.78782,-71.748567:6.77992,-71.742203:6.774127,-71.73849:6.768861,-71.736369:6.760961,-71.732657:6.756221,-71.727883:6.747267,-71.715155:6.742,-71.711442:6.73094,-71.706669:6.720932,-71.705608:6.716192,-71.700305:6.710925,-71.69288:6.704077,-71.687046:6.697756,-71.685985:6.684588,-71.687576:6.67458,-71.69288:6.670892,-71.695532:6.663517,-71.697653:6.656143,-71.701366:6.652982,-71.705608:6.651401,-71.709851:6.64666,-71.70773:6.636651,-71.706139:6.628222,-71.701896:6.61874,-71.699774:6.612945,-71.702426:6.605569,-71.705608:6.584495,-71.704017:6.581861,-71.703487:6.577119,-71.699244:6.569216,-71.691819:6.557625,-71.682803:6.547614,-71.67856:6.540237,-71.67803:6.531807,-71.676969:6.521268,-71.680151:6.510203,-71.680682:6.49861,-71.67856:6.484909,-71.668483:6.466992,-71.659467:6.455398,-71.654694:6.444331,-71.649391:6.433791,-71.64886:6.421143,-71.654694:6.401642,-71.667953:6.386358,-71.681212:6.375816,-71.688637:6.370545,-71.691819:6.362639,-71.691819:6.355787,-71.69341:6.340501,-71.695532:6.327323,-71.694471:6.317307,-71.689698:6.304129,-71.67803:6.287787,-71.657876:6.278825,-71.650982:6.27039,-71.645148:6.259846,-71.639844:6.251411,-71.636662:6.245085,-71.630828:6.235595,-71.623403:6.226632,-71.620221:6.213979,-71.619691:6.207124,-71.623403:6.202906,-71.628176:6.199216,-71.63348:6.194998,-71.641966:6.189198,-71.657346:6.183398,-71.672196:6.181289,-71.682273:6.172325,-71.69341:6.158088,-71.697653:6.147015,-71.698183:6.138051,-71.699774:6.128032,-71.711442:6.123813,-71.720458:6.11643,-71.725762:6.110629,-71.726823:6.105356,-71.727353:6.099555,-71.730535:6.097446,-71.736369:6.088481,-71.749098:6.080043,-71.763417:6.072659,-71.772964:6.066331,-71.777737:6.061584,-71.778267:6.055783,-71.78304:6.048927,-71.787283:6.042071,-71.789405:6.034687,-71.793647:6.02783,-71.798421:6.012535,-71.79789:5.994074,-71.803194:5.981415,-71.813271:5.961898,-71.837667:5.950821,-71.855169:5.937633,-71.868958:5.921808,-71.875853:5.909147,-71.87214:5.896486,-71.862594:5.885935,-71.861003:5.875384,-71.861533:5.860084,-71.862594:5.843729,-71.866306:5.830011,-71.87161:5.811016,-71.883278:5.797298,-71.88699:5.768277,-71.885929:5.761417,-71.889112:5.752974,-71.893354:5.741365,-71.898128:5.726589,-71.899719:5.711813,-71.906083:5.689648,-71.917883:5.674871,-71.925839:5.660094,-71.932733:5.644261,-71.939628:5.638455,-71.943871:5.634233,-71.949174:5.628427,-71.958721:5.624205,-71.970389:5.617871,-71.980996:5.608898,-71.990542:5.602036,-71.997967:5.593063,-72.005922:5.58409,-72.013878:5.578284,-72.018121:5.576173,-72.01759:5.575117,-72.020772:5.570366,-72.025015:5.564032,-72.032971:5.562448,-72.041456:5.562448,-72.050472:5.559281,-72.056837:5.551891,-72.060151:5.544501,-72.064394:5.536583,-72.071819:5.52972,-72.078714:5.525497,-72.085608:5.523386,-72.087199:5.511772,-72.093033:5.502797,-72.100989:5.498046,-72.108414:5.495934,-72.113187:5.491711,-72.113717:5.489599,-72.116899:5.487488,-72.126446:5.48432,-72.13228:5.479041,-72.141296:5.473234,-72.153494:5.466898,-72.164101:5.458979,-72.172587:5.448948,-72.17736:5.439445,-72.185846:5.436805,-72.196453:5.437861,-72.20706:5.439973,-72.215546:5.437861,-72.227213:5.434165,-72.25161:5.426773,-72.277332:5.423605,-72.287409:5.417174,-72.294265",https://www.gem.wiki/Bicentenario_Oil_Pipeline,https://www.gem.wiki/Bicentenario_Oil_Pipeline
CIJAA-PT Oficina Oil Pipeline,Oleoducto CIJAA-PT Oficina,,,oil_pipeline,,,,Venezuela,operating,operating,,8.96,,mtpa,line,nan,nan,"8.969161,-64.289125:10.072528,-64.855894",https://www.gem.wiki/Jose_Palmichal-Pt_Oficina_oil_pipeline,https://www.gem.wiki/Jose_Palmichal-Pt_Oficina_oil_pipeline
Camiri-Santa Cruz Oil Pipeline,Oleoducto Camiri-Santa Cruz,,,oil_pipeline,,YPFB,,Bolivia,operating,operating,1968,6.6,,MMcf/d,line,nan,nan,"-20.0158116629399,-63.534965165796:-17.848523800257986,-63.181973398328225",https://www.gem.wiki/Camiri-Santa_Cruz_Oil_Pipeline,https://www.gem.wiki/Camiri-Santa_Cruz_Oil_Pipeline
Camiri-Villamontes Oil Pipeline,Oleoducto Camiri-Villamontes,,,oil_pipeline,,YPFB,,Bolivia,operating,operating,,18000,,bpd,line,nan,nan,"-20.0158116629399,-63.534965165796:-21.26809657948559,-63.449991473083514",https://www.gem.wiki/Camiri-Villamontes_Oil_Pipeline,https://www.gem.wiki/Camiri-Villamontes_Oil_Pipeline
Camiri-Yacuiba Oil Pipeline,Oleoducto Camiri-Yacuiba,,,oil_pipeline,,YPFB,,Bolivia,operating,operating,2001,9.8,,MMcf/d,line,nan,nan,"-20.0158116629399,-63.534965165796:-20.980952762408094,-63.32036781722667:-21.95051542693169,-63.634363283591235",https://www.gem.wiki/Camiri-Yacuiba_Oil_Pipeline,https://www.gem.wiki/Camiri-Yacuiba_Oil_Pipeline
Cantarell Field Oil Pipeline Network,Red de Oleoductos del Yacimiento Cantarell,,,oil_pipeline,,,,Mexico,operating,operating,1979,400000,,bpd,line,nan,nan,"19.431915,-92.09:19.66,-91.9976;19.431915,-92.09:19.431915,-91.72;19.431915,-92.09:19.34,-92.19671584;19.34,-92.19671584:19.53,-92.45;19.34,-92.19671584:19.19,-91.86;19.53,-92.45:19.53,-92.72",https://www.gem.wiki/Cantarell_Field_Oil_Pipeline_Network,https://www.gem.wiki/Cantarell_Field_Oil_Pipeline_Network
Carrasco-Caranda Oil Pipeline,Oleoducto Carrasco-Caranda,,,oil_pipeline,,YPFB,,Bolivia,operating,operating,1993,19500,,bpd,line,nan,nan,"-17.2364,-64.5551:-17.1997,-64.54:-17.2117,-64.5066:-17.2299,-64.4732:-17.2296,-64.436:-17.2434,-64.4014:-17.2651,-64.359:-17.2656,-64.3296:-17.2513,-64.2823:-17.2569,-64.2635:-17.2572,-64.2451:-17.2613,-64.2282:-17.278,-64.2098:-17.2876,-64.1972:-17.3011,-64.1856:-17.3283,-64.1426:-17.3573,-64.1018:-17.3614,-64.0936:-17.3617,-64.0725:-17.3664,-64.0593:-17.3731,-64.0399:-17.3731,-64.0243:-17.3796,-64.0062:-17.3957,-63.9706:-17.3995,-63.9547:-17.4036,-63.9142:-17.408,-63.9004:-17.4088,-63.879:-17.4071,-63.8048:-17.4097,-63.7674:-17.4121,-63.7385:-17.4205,-63.7284:-17.4361,-63.7198:-17.4492,-63.7152:-17.4562,-63.706:-17.4562,-63.6864:-17.4624,-63.6655:-17.4794,-63.639:-17.5036,-63.6083:-17.5247,-63.5718:-17.5358,-63.558",https://www.gem.wiki/Carrasco-Caranda_Oil_Pipeline,https://www.gem.wiki/Carrasco-Caranda_Oil_Pipeline
Carrasco-Cochabamba Oil Pipeline,Oleoducto Carrasco-Cochabamba ,,,oil_pipeline,,YPFB,,Bolivia,operating,operating,2005,20000,,bpd,line,nan,nan,"-17.277,-64.5148:-17.2133,-64.5386:-17.1982,-64.5989:-17.1769,-64.6735:-17.133,-64.7386:-17.0632,-64.8116:-16.9949,-64.8909:-16.963,-64.9751:-16.9494,-65.0401:-16.9448,-65.1131:-16.9524,-65.1861:-16.9676,-65.2782:-16.9828,-65.3639:-17.001,-65.4226:-17.0283,-65.4575:-17.0662,-65.5194:-17.0632,-65.575:-17.0465,-65.6321:-17.0647,-65.6829:-17.1269,-65.7337:-17.1678,-65.7781:-17.2088,-65.8543:-17.2588,-65.8876:-17.2997,-65.9194:-17.3452,-65.9686:-17.3815,-66.0257:-17.4194,-66.0733:-17.4512,-66.0908:-17.4512,-66.0908",https://www.gem.wiki/Carrasco-Cochabamba_Oil_Pipeline,https://www.gem.wiki/Carrasco-Cochabamba_Oil_Pipeline
Caño Limón–Coveñas Oil Pipeline,Oleoducto Caño Limón–Coveñas,,,oil_pipeline,,Occidental Petroleum,,Colombia,operating,operating,1986,210000,,bpd,line,nan,nan,"6.932620445394921,-71.1671529612414:7.006988,-71.1622:7.006988,-71.442:7.017773,-71.7735:7.050129,-72.0343:7.157967,-72.2516:7.360092,-72.4635:7.527113,-72.5695:7.834047,-72.6265:8.060065,-72.5912:8.183784,-72.6129:8.396167,-72.7542:8.48485,-72.8221:8.624551,-72.9274:8.61112,-73.1583:8.61112,-73.4028:8.648725,-73.555:8.834005,-73.6093:9.164056,-73.6854:9.274005,-73.7234:9.316903,-73.8375:9.410723,-74.3646:9.436184,-74.5398:9.444224,-74.7246:9.395982,-74.874:9.312881,-75.1321:9.283389,-75.257:9.315562,-75.488:9.371858,-75.6781:9.410435,-75.6921142",https://www.gem.wiki/Ca%c3%b1o_Lim%c3%b3n%e2%80%93Cove%c3%b1as_Oil_Pipeline,https://www.gem.wiki/Ca%c3%b1o_Lim%c3%b3n%e2%80%93Cove%c3%b1as_Oil_Pipeline
Cochabamba-Arica Oil Pipeline,Oleoducto Cochabamba-Arica,,,oil_pipeline,,YPFB,,"Bolivia, Chile",operating,operating,1966,25000,,bpd,line,nan,nan,"-17.4186,-66.1749:-17.5034,-66.1908:-17.5276,-66.2193:-17.5216,-66.2987:-17.5428,-66.3368:-17.5912,-66.3971:-17.6396,-66.4606:-17.685,-66.5272:-17.6698,-66.5875:-17.6335,-66.6669:-17.6214,-66.7494:-17.6245,-66.8288:-17.6517,-66.9145:-17.7031,-67.0192:-17.7031,-67.0859:-17.688,-67.1811:-17.6366,-67.2541:-17.573,-67.3208:-17.5004,-67.4001:-17.4671,-67.4541:-17.4217,-67.5303:-17.3611,-67.6509:-17.3278,-67.7874:-17.3035,-67.9207:-17.255,-68.0858:-17.252,-68.2159:-17.2732,-68.3968:-17.3065,-68.527:-17.3671,-68.6286:-17.4186,-68.765:-17.4519,-68.892:-17.4671,-68.9396:-17.4913,-69.0634:-17.5034,-69.1936:-17.5579,-69.3078:-17.6547,-69.4316:-17.7787,-69.5491:-17.8452,-69.5872:-17.9871,-69.6221:-18.144,-69.6475:-18.1983,-69.7046:-18.2888,-69.8665:-18.3852,-70.0855:-18.4815,-70.2791",https://www.gem.wiki/Cochabamba-Arica_Oil_Pipeline,https://www.gem.wiki/Cochabamba-Arica_Oil_Pipeline
