project_en,project,unit_en,unit,type,owner,parent,province,country,status_tabular,status,start_year,capacity,production,units,geom,lat,lng,route,url_en,url
Loma Campana-Sb,Loma Campana-Sb,,,oil_and_gas_extraction_area,,,,Argentina,operating,operating,2014,,1.33,million boe/y,point,-38.385,-68.706,,https://www.gem.wiki/Loma_Campana-Sb_Oil_and_Gas_Field_(Argentina),https://www.gem.wiki/Campo_de_Petróleo_y_Gas_Loma_Campana-Sb_(Argentina)
Loma Negra Ni,Loma Negra Ni,,,oil_and_gas_extraction_area,,,,Argentina,operating,operating,,,0.26,million boe/y,point,-38.233,-69.267,,https://www.gem.wiki/Loma_Negra_Ni_Oil_and_Gas_Field_(Argentina),https://www.gem.wiki/Campo_de_Petróleo_y_Gas_Loma_Negra_Ni_(Argentina)
Loma de María,Loma de María,,,oil_and_gas_extraction_area,,,,Argentina,operating,operating,,,1.49,million boe/y,point,-38.233,-69.267,,https://www.gem.wiki/Loma_de_María_Oil_and_Gas_Field_(Argentina),https://www.gem.wiki/Campo_de_Petróleo_y_Gas_Loma_de_María_(Argentina)
Loma la Lata,Loma la Lata,,,oil_and_gas_extraction_area,,,,Argentina,operating,operating,,,15.35,million boe/y,point,-38.459,-68.709,,https://www.gem.wiki/Loma_la_Lata_Oil_and_Gas_Field_(Argentina),https://gem.wiki/Campo_de_Petróleo_y_Gas_Loma_la_Lata_(Argentina)
Loma las Yeguas,Loma las Yeguas,,,oil_and_gas_extraction_area,,,,Argentina,operating,operating,,,2.53,million boe/y,point,-38.052,-68.828,,https://www.gem.wiki/Loma_las_Yeguas_Oil_and_Gas_Field_(Argentina),https://www.gem.wiki/Campo_de_Petróleo_y_Gas_Loma_las_Yeguas_(Argentina)
Lomas del Cuy,Lomas del Cuy,,,oil_and_gas_extraction_area,,,,Argentina,operating,operating,,,0.91,million boe/y,point,-46.426,-69.073,,https://www.gem.wiki/Lomas_del_Cuy_Oil_and_Gas_Field_(Argentina),https://www.gem.wiki/Campo_de_Petróleo_y_Gas_Lomas_del_Cuy_(Argentina)
Lomita Sur,Lomita Sur,,,oil_and_gas_extraction_area,,,,Argentina,operating,operating,,,0.74,million boe/y,point,-37.332,-69.207,,https://www.gem.wiki/Lomita_Sur_Oil_and_Gas_Field_(Argentina),https://www.gem.wiki/Campo_de_Petróleo_y_Gas_Lomita_Sur_(Argentina)
Los Cavaos,Los Cavaos,,,oil_and_gas_extraction_area,,,,Argentina,operating,operating,,,0.26,million boe/y,point,-36.074,-69.664,,https://www.gem.wiki/Los_Cavaos_Oil_and_Gas_Field_(Argentina),https://www.gem.wiki/Campo_de_Petróleo_y_Gas_Los_Cavaos_(Argentina)
Los Flamencos,Los Flamencos,,,oil_and_gas_extraction_area,,,,Argentina,operating,operating,,,0.61,million boe/y,point,-53.734,-67.985,,https://www.gem.wiki/Los_Flamencos_Oil_and_Gas_Field_(Argentina),https://www.gem.wiki/Campo_de_Petróleo_y_Gas_Los_Flamencos_(Argentina)
Los Perales,Los Perales,,,oil_and_gas_extraction_area,,,,Argentina,operating,operating,,,4.07,million boe/y,point,-46.183,-69.151,,https://www.gem.wiki/Los_Perales_Oil_and_Gas_Field_(Argentina),https://www.gem.wiki/Campo_de_Petróleo_y_Gas_Los_Perales_(Argentina)
